Build started: 2026-04-13 14:51:08 UTC
geoip.dat size: 38665612 bytes
Text files: 267
---
  tag=SL                   inserted=228 skipped=0
  tag=SM                   inserted=188 skipped=0
  tag=SN                   inserted=279 skipped=0
  tag=SO                   inserted=258 skipped=0
  tag=SR                   inserted=212 skipped=0
  tag=SS                   inserted=218 skipped=0
  tag=ST                   inserted=158 skipped=0
  tag=SV                   inserted=577 skipped=0
  tag=SX                   inserted=136 skipped=0
  tag=SY                   inserted=433 skipped=0
  tag=SZ                   inserted=207 skipped=0
  tag=TC                   inserted=155 skipped=0
  tag=TD                   inserted=201 skipped=0
  tag=TF                   inserted=58 skipped=0
  tag=TG                   inserted=193 skipped=0
  tag=TH                   inserted=3656 skipped=0
  tag=TJ                   inserted=320 skipped=0
  tag=TK                   inserted=125 skipped=0
  tag=TL                   inserted=206 skipped=0
  tag=TM                   inserted=183 skipped=0
  tag=TN                   inserted=338 skipped=0
  tag=TO                   inserted=153 skipped=0
  tag=TR                   inserted=6836 skipped=0
  tag=TT                   inserted=339 skipped=0
  tag=TV                   inserted=164 skipped=0
  tag=TW                   inserted=5501 skipped=0
  tag=TZ                   inserted=670 skipped=0
  tag=UA                   inserted=9017 skipped=0
  tag=UG                   inserted=476 skipped=0
  tag=UM                   inserted=113 skipped=0
  tag=US                   inserted=252633 skipped=0
  tag=UY                   inserted=512 skipped=0
  tag=UZ                   inserted=830 skipped=0
  tag=VA                   inserted=235 skipped=0
  tag=VC                   inserted=188 skipped=0
  tag=VE                   inserted=1793 skipped=0
  tag=VG                   inserted=634 skipped=0
  tag=VI                   inserted=396 skipped=0
  tag=VN                   inserted=3886 skipped=0
  tag=VU                   inserted=326 skipped=0
  tag=WF                   inserted=100 skipped=0
  tag=WS                   inserted=169 skipped=0
  tag=XK                   inserted=213 skipped=0
  tag=YE                   inserted=252 skipped=0
  tag=YT                   inserted=155 skipped=0
  tag=ZA                   inserted=9544 skipped=0
  tag=ZM                   inserted=351 skipped=0
  tag=ZW                   inserted=470 skipped=0
  tag=ZZ                   inserted=5 skipped=0
  tag=TELEGRAM             inserted=12 skipped=0
  tag=RE-FILTER            inserted=36616 skipped=0
  tag=RU-WHITELIST         inserted=30189 skipped=0
done: inserted=1567952 skipped=0 output=./output/geoip-country.mmdb
---
mmdb size: 11123689 bytes
Build finished: 2026-04-13 14:51:24 UTC
